status,Name,date,Type,Episodes,Genres
Completed,The Mandalorian,"March 31, 2023","Hollywood ",,Space
Completed,Arcane,"March 31, 2023",Animation,,
Completed,Mob Psycho 100 III,"December 31, 2022",Anime,,
Completed,Yofukashi no Uta,"October 27, 2022",Anime,,
Completed,Bleach,"September 16, 2022",Anime,,
Completed,Castlevania,"August 25, 2022",Anime,,
Completed,Vivy: Fluorite Eye's Song,"August 11, 2022",Anime,,
Completed,Mob Psycho 100 II,"August 11, 2022",Anime,,
Dropped,JoJo no Kimyou na Bouken: Stone Ocean,"July 25, 2022",ONA,,
Completed,JoJo no Kimyou na Bouken: Stone Ocean,"July 25, 2022",ONA,,
Dropped,Aharen-san wa Hakarenai,"July 16, 2022",Anime,5,
Completed,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"July 16, 2022",Anime,,
Completed,JoJo no Kimyou na Bouken: Stardust Crusaders,"July 16, 2022",Anime,,
Completed,JoJo no Kimyou na Bouken: Ougon no Kaze,"July 16, 2022",Anime,,
Completed,Spy x Family,"July 16, 2022",Anime,,
Completed,"Komi-san wa, Komyushou Desu.","July 16, 2022",Anime,,
Completed,JoJo no Kimyou na Bouken: Stardust Crusaders,"July 16, 2022",Anime,,
Dropped,Samurai Champloo,"June 15, 2022",Anime,,
Dropped,To Your Eternity,"June 15, 2022",Anime,10,
Completed,Megalo Box,"June 10, 2022",Anime,,
Completed,Doraemon: Nobita to Mirai Note,"April 26, 2022",Anime,,
Completed,Ninja Hattori-kun,"April 26, 2022",Anime,,
Completed,Tsurupika Hagemaru-kun,"April 26, 2022",Anime,,
Completed,Doraemon,"April 26, 2022",Anime,,
Completed,Doraemon,"April 26, 2022",Anime,,
Completed,Kiteretsu Daihyakka,"April 26, 2022",Anime,,
Completed,Perman,"April 26, 2022",Anime,,
Dropped,Shikimori's Not Just a Cutie,"April 23, 2022",Anime,3,
Completed,JoJo no Kimyou na Bouken,"April 21, 2022",Anime,,
Completed,Mushoku Tensei: Isekai Ittara Honki Dasu,"April 16, 2022",Anime,,
Completed,Mushoku Tensei: Isekai Ittara Honki Dasu,"April 16, 2022",Anime,,
Completed,Odd Taxi,"April 9, 2022",Anime,,
Completed,Devilman: Crybaby,"April 8, 2022",ONA,,
Completed,Devilman: Crybaby,"April 8, 2022",ONA,,
Dropped,Boruto,"April 8, 2022",Anime,25,
Dropped,Fate/Apocrypha,"April 8, 2022",Anime,3,
Completed,Boku dake ga Inai Machi,"April 8, 2022",Anime,,
Completed,Chuunibyou demo Koi ga Shitai! Ren,"April 8, 2022",Anime,,
Completed,Tokyo Ghoul:Re,"April 8, 2022",Anime,,
Completed,Re:Zero kara Hajimeru Isekai Seikatsu,"April 8, 2022",Anime,,
Completed,Boku no Hero Academia,"April 8, 2022",Anime,,
Completed,Re:Zero kara Hajimeru Isekai Seikatsu,"April 8, 2022",Anime,,
Completed,One Punch Man,"April 8, 2022",Anime,,
Completed,Kimetsu no Yaiba: Yuukaku Hen,"April 8, 2022",Anime,,
Completed,Vinland Saga,"April 8, 2022",Anime,,
Completed,Tokyo Ghoul:Re,"April 8, 2022",Anime,,
Completed,Hagane no Renkinjutsushi,"April 8, 2022",Anime,,
Completed,Boku no Hero Academia,"April 8, 2022",Anime,,
Completed,Sono Bisque Doll wa Koi o Suru,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin Season 2,"April 8, 2022",Anime,,
Completed,Tokyo Ghoul,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin: The Final Season,"April 8, 2022",Anime,,
Completed,Ore no Imouto ga Konna ni Kawaii Wake ga Nai,"April 8, 2022",Anime,,
Completed,Dr. Stone,"April 8, 2022",Anime,,
Completed,Beastars,"April 8, 2022",Anime,,
Completed,Boku no Hero Academia,"April 8, 2022",Anime,,
Completed,Steins;Gate,"April 8, 2022",Anime,,
Completed,Dr. Stone: Stone Wars,"April 8, 2022",Anime,,
Completed,Tokyo Revengers,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin: The Final Season,"April 8, 2022",Anime,,
Completed,Death Note,"April 8, 2022",Anime,,
Completed,Fate/Stay Night: Unlimited Blade Works,"April 8, 2022",Anime,,
Completed,Shigatsu wa Kimi no Uso,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin,"April 8, 2022",Anime,,
Completed,Mob Psycho 100,"April 8, 2022",Anime,,
Completed,Boku no Hero Academia,"April 8, 2022",Anime,,
Completed,Naruto Shippuuden,"April 8, 2022",Anime,,
Completed,Ousama Ranking,"April 8, 2022",Anime,,
Completed,"Ijiranaide, Nagatoro-san","April 8, 2022",Anime,,
Completed,Fate/Zero,"April 8, 2022",Anime,,
Completed,Himouto! Umaru-chan,"April 8, 2022",Anime,,
Completed,Tokyo Ghoul Root A,"April 8, 2022",Anime,,
Completed,The God of High School,"April 8, 2022",Anime,,
Completed,Beastars,"April 8, 2022",Anime,,
Completed,Naruto,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin Season 3,"April 8, 2022",Anime,,
Completed,Boku no Hero Academia,"April 8, 2022",Anime,,
Completed,Jujutsu Kaisen,"April 8, 2022",Anime,,
Completed,Shingeki no Kyojin Season 3,"April 8, 2022",Anime,,
Completed,Fate/Stay Night: Unlimited Blade Works,"April 8, 2022",Anime,,
Completed,Chuunibyou demo Koi ga Shitai!,"April 8, 2022",Anime,,
Completed,"Komi-san wa, Komyushou Desu.","April 8, 2022",Anime,,
Completed,Kimetsu no Yaiba: Mugen Ressha Hen,"April 8, 2022",Anime,,
Completed,Kimetsu no Yaiba,"April 8, 2022",Anime,,
Completed,Black Clover,"April 8, 2022",Anime,,
Completed,Fate/Zero,"April 8, 2022",Anime,,
Completed,One Punch Man,"April 8, 2022",Anime,,
Dropped,Crayon Shin-chan,"January 1, 1970",Anime,1000,
Dropped,Doraemon (2005),"January 1, 1970",Anime,1000,
Dropped,The Greatest Demon Lord Is Reborn as a Typical Nobody,"January 1, 1970",Anime,1,
Dropped,Tonikawa: Over the Moon for You,"January 1, 1970",Anime,5,
Dropped,Naruto Spin-Off: Rock Lee & His Ninja Pals,"January 1, 1970",Anime,2,
Completed,Jujutsu Kaisen,"January 1, 1970",Anime,,